COMMENT_ID,AUTHOR,DATE,CONTENT,SUMMARY,LIKE_COUNT,CLASS
z12iyf2wkybwerg5104cddairnrzf5vwoog0k,Anastasia Trevla,2015-05-23T18:35:07.666000,I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,"Shakira's ""Waka Waka"" captures the exhilaration of the FIFA World Cup with its infectious rhythms and uplifting message. The music video features vibrant African landscapes, showcasing diverse cultures and joyful celebration. With its catchy chorus and energetic performance, ""Waka Waka"" became an anthem of unity and sportsmanship globally.",0,0
UgzcKRr6KSnehv-p-UV4AaABAg,@user-xy3wo8fv9u,2023-04-07T13:34:47Z,This song makes me happy 100%🎉😍😍,"Taylor Swift's ""Shake It Off"" music video is a colorful, upbeat anthem celebrating self-confidence and positivity. With catchy lyrics and energetic choreography, Swift embraces different dance styles and encourages listeners to shrug off negativity. The video's vibrant visuals and playful tone make it a feel-good pop sensation.",0,0
z12ohnbxzqihgdywx04cdnkxpkzxfd5ie20,BMB Beats,2015-01-05T21:33:38.426000,"<a href=""http://www.gofundme.com/Helpmypitbull"">http://www.gofundme.com/Helpmypitbull</a> Can you please donate to help my pitbull PLEASE!!! I just need 50 dollars to take it to the vet!!!﻿","LMFAO's ""Party Rock Anthem"" is a high-energy dance anthem that dominated clubs and airwaves worldwide. The music video features the duo and their crew dancing through a post-apocalyptic world, spreading their infectious party spirit. With its catchy beat and memorable choreography, it became a symbol of carefree celebration.",0,1
LneaDw26bFvEU1KP4pLe6ZX7ShycVVArHO-hQyOPKYI,Laura Brown,,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile","Eminem and Rihanna's ""Love The Way You Lie"" explores the complexities of toxic relationships. The music video depicts intense scenes of domestic turmoil, reflecting the song's raw emotion and honesty. Eminem's powerful lyrics combined with Rihanna's soulful vocals create a haunting portrayal of love, pain, and struggle.",0,1
Ugw16FaMw6ESbCzCl5J4AaABAg,@famellies--313-Beatmaker,2020-07-31T18:45:58Z,RODDY RICH X LIL KEED X GUNNA PLUS MORE ..I JUST WANNA HAVE MY BEATS SUPPORTED AND LISTENED TO AND THANKS TO YOUTUBE AND YOU &lt;LOVELEY PEOPLE MY DREAM IS &lt;COMING TRUE.THANKS SO &lt;MUCH ...ANYONE WANNA SEE WHAT &lt;MY BEATS ARE LIKE .CLICK MY ICON.,"Taylor Swift's ""Shake It Off"" music video is a colorful, upbeat anthem celebrating self-confidence and positivity. With catchy lyrics and energetic choreography, Swift embraces different dance styles and encourages listeners to shrug off negativity. The video's vibrant visuals and playful tone make it a feel-good pop sensation.",0,1
UgzZgzUbA-_ehqesW5B4AaABAg,@mariasirona1622,2021-06-11T09:55:30Z,Russia was not among the winners of WW1 because Germany had beat it and it was in full-blown civil war by the end of the war,"OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",1,0
z13wtxw41lucynljt04cits4yxmsht0qjrg0k,Marshmallow Kingdom,2015-05-20T12:38:04.230000,BEST PARTY SONG LITERALLY PARTY ROCK IS IN THE HOUSEE TONIGHT!!!!﻿,"LMFAO's ""Party Rock Anthem"" is a high-energy dance anthem that dominated clubs and airwaves worldwide. The music video features the duo and their crew dancing through a post-apocalyptic world, spreading their infectious party spirit. With its catchy beat and memorable choreography, it became a symbol of carefree celebration.",0,0
Ugx8b0PJmYnZKx800MV4AaABAg,@goldgamer907,2022-10-15T14:31:35Z,How I learned history school 0% oversimplified 100%,"OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",0,0
UgyPDo4WUo49tYUnKGh4AaABAg,@reacttoyn..4950,2020-10-27T20:37:47Z,<b>0% nudity</b><br><b>0% drugs</b><br><b>0%coronavirus</b><br><b>100% talent emotions!</b>,"Taylor Swift's ""Shake It Off"" music video is a colorful, upbeat anthem celebrating self-confidence and positivity. With catchy lyrics and energetic choreography, Swift embraces different dance styles and encourages listeners to shrug off negativity. The video's vibrant visuals and playful tone make it a feel-good pop sensation.",271,0
z12ox3a5vviky5ctq22nz1ewpo24wxyis04,JackTheLad,2014-11-06T19:00:11,Subscribe to me and I'll subscribe back!!!﻿,"PSY's ""GANGNAM STYLE"" became a global sensation with its catchy beat and iconic horse-riding dance moves. The music video showcases the lavish lifestyle of Gangnam, a district in Seoul, South Korea, juxtaposed with humorous scenes. Its infectious energy and quirky style made it a viral hit, amassing billions of views.",0,1
z13fzno5fnzdwl0wm04cc3fxqkubz3v4ieg,sreekrishna praveen,2014-10-31T07:37:32,i love you katy perry because you will sing nice than shakira﻿,"Katy Perry's ""Roar"" empowers with its anthemic chorus and vibrant visuals. The music video depicts Perry surviving a jungle plane crash, transforming into a jungle queen who finds her strength. With its message of resilience and self-empowerment, ""Roar"" resonated globally, becoming one of Perry's most iconic hits.",0,0
z13zdpqz0qflhrha104cdxir0pbct3v4iys0k,France Silva,2015-05-21T21:54:55.768000,BR﻿,"Eminem and Rihanna's ""Love The Way You Lie"" explores the complexities of toxic relationships. The music video depicts intense scenes of domestic turmoil, reflecting the song's raw emotion and honesty. Eminem's powerful lyrics combined with Rihanna's soulful vocals create a haunting portrayal of love, pain, and struggle.",0,0
z13oilua4nu5ulzs122xvdc5skfqzfy5y04,Jouri Osman,2014-09-13T15:05:13,I love KATY PERRY &lt;3 &lt;3﻿,"Katy Perry's ""Roar"" empowers with its anthemic chorus and vibrant visuals. The music video depicts Perry surviving a jungle plane crash, transforming into a jungle queen who finds her strength. With its message of resilience and self-empowerment, ""Roar"" resonated globally, becoming one of Perry's most iconic hits.",0,0
z121st5w5k3ui1veg22zirn4gkr5tby2v,Jdidk Loma,2014-01-20T20:35:56,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,"PSY's ""GANGNAM STYLE"" became a global sensation with its catchy beat and iconic horse-riding dance moves. The music video showcases the lavish lifestyle of Gangnam, a district in Seoul, South Korea, juxtaposed with humorous scenes. Its infectious energy and quirky style made it a viral hit, amassing billions of views.",0,1
Ugy9Gjrw7ydoUPonLgJ4AaABAg,@Hollagrl0999,2022-07-17T20:53:40Z,This song and “Clover Cage - Lost Then Found” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕,"Taylor Swift's ""Shake It Off"" music video is a colorful, upbeat anthem celebrating self-confidence and positivity. With catchy lyrics and energetic choreography, Swift embraces different dance styles and encourages listeners to shrug off negativity. The video's vibrant visuals and playful tone make it a feel-good pop sensation.",2,1
_2viQ_Qnc69GH3FQl348HonbRxpbmtsR5CUei0zkJog,Riley Rollins,2013-07-16T00:30:46.660000,"O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?!  Hear the Word of The Lord - TrumpetCallOfGodOnline.  co m","Shakira's ""Waka Waka"" captures the exhilaration of the FIFA World Cup with its infectious rhythms and uplifting message. The music video features vibrant African landscapes, showcasing diverse cultures and joyful celebration. With its catchy chorus and energetic performance, ""Waka Waka"" became an anthem of unity and sportsmanship globally.",0,1
UgymDTTMQwjRYTewObJ4AaABAg,@user-qx7lb9jd9j,2019-02-05T11:07:44Z,"<b>A str**m guide</b><br><br>How to str**m<br><br>·Don&#39;t pause, play the video until it&#39;s finish. Play it at normal speed.<br><br>·Don&#39;t skip and pause ads.<br><br>·After str**ming, rest for 10 mins. then continue (you could watch other mv instead, 3-4MV&#39;s. As long as it is 10 mins. from playing the mv)<br><br>·Don&#39;t play the same mv again, play another mv instead<br><br>·Don&#39;t use incognito<br><br>·After str**ming your list of mv&#39;s, clear youtube history and start again.<br><br>·Make sure the volume is at 50% and above<br><br>·Video quality should be at 480p above<br><br>·Don&#39;t use playlists, it will not take 100% of your vi*ws","Taylor Swift's ""Shake It Off"" music video is a colorful, upbeat anthem celebrating self-confidence and positivity. With catchy lyrics and energetic choreography, Swift embraces different dance styles and encourages listeners to shrug off negativity. The video's vibrant visuals and playful tone make it a feel-good pop sensation.",0,1
_2viQ_Qnc69WextJrbKBgZtDWQiRWlkxS317fouQMYc,Chris Boatsome,2013-08-30T22:41:51.117000,Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa.   Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot;   Go learn something.,"Shakira's ""Waka Waka"" captures the exhilaration of the FIFA World Cup with its infectious rhythms and uplifting message. The music video features vibrant African landscapes, showcasing diverse cultures and joyful celebration. With its catchy chorus and energetic performance, ""Waka Waka"" became an anthem of unity and sportsmanship globally.",0,1
_2viQ_Qnc6_N2zOGpILFMw84xtq3hW1Evqp4K2VjCiM,salama al jadeedi,2013-10-02T13:22:09.610000,wow,"Shakira's ""Waka Waka"" captures the exhilaration of the FIFA World Cup with its infectious rhythms and uplifting message. The music video features vibrant African landscapes, showcasing diverse cultures and joyful celebration. With its catchy chorus and energetic performance, ""Waka Waka"" became an anthem of unity and sportsmanship globally.",0,0
z12de5li5lzwcbblp23gc11zmli4t5r10,Dicky Tricahyadi,2015-05-20T05:49:45.161000,LMFAO IS THE BEST﻿,"LMFAO's ""Party Rock Anthem"" is a high-energy dance anthem that dominated clubs and airwaves worldwide. The music video features the duo and their crew dancing through a post-apocalyptic world, spreading their infectious party spirit. With its catchy beat and memorable choreography, it became a symbol of carefree celebration.",0,0
z12lfltwkq2cv1gft22aslh5hwyjgtzto,marie smith,2015-05-25T22:01:29.580000,You are the music hero😍😎﻿,"LMFAO's ""Party Rock Anthem"" is a high-energy dance anthem that dominated clubs and airwaves worldwide. The music video features the duo and their crew dancing through a post-apocalyptic world, spreading their infectious party spirit. With its catchy beat and memorable choreography, it became a symbol of carefree celebration.",0,0
z12pd3wq0p3wzzt5p04cd33pwnrreduadn40k,Brianna Reed,2015-05-25T03:02:02.615000,I LOVE YOUR SONGS﻿,"LMFAO's ""Party Rock Anthem"" is a high-energy dance anthem that dominated clubs and airwaves worldwide. The music video features the duo and their crew dancing through a post-apocalyptic world, spreading their infectious party spirit. With its catchy beat and memorable choreography, it became a symbol of carefree celebration.",0,0
z13hwbshcnrhztsw204cirfgvregzvywmag,emily 13,2015-05-28T23:10:37.700000,i love song :)﻿,"Eminem and Rihanna's ""Love The Way You Lie"" explores the complexities of toxic relationships. The music video depicts intense scenes of domestic turmoil, reflecting the song's raw emotion and honesty. Eminem's powerful lyrics combined with Rihanna's soulful vocals create a haunting portrayal of love, pain, and struggle.",0,0
z13owrjplrmwwf21b22qzbbjlx3etfoha04,Chutipha Wongsaroj,,Check out this video on YouTube:﻿,"Eminem and Rihanna's ""Love The Way You Lie"" explores the complexities of toxic relationships. The music video depicts intense scenes of domestic turmoil, reflecting the song's raw emotion and honesty. Eminem's powerful lyrics combined with Rihanna's soulful vocals create a haunting portrayal of love, pain, and struggle.",0,1
Ugw5goBIi-JfwleODWx4AaABAg,@sorrybutamjustwaytoobroken1206,2022-10-24T07:32:31Z,yup i can confirm it&#39;s 100% true,"OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",0,0
_2viQ_Qnc69h-dBshypMERLv5by8Rf7I8TSLnP1Lnoo,Steven Slater,2013-10-15T09:56:19.653000,Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly.  To read more go to this web site bit.ly\1bSefQe,"Shakira's ""Waka Waka"" captures the exhilaration of the FIFA World Cup with its infectious rhythms and uplifting message. The music video features vibrant African landscapes, showcasing diverse cultures and joyful celebration. With its catchy chorus and energetic performance, ""Waka Waka"" became an anthem of unity and sportsmanship globally.",0,1
UgzBX4lCknzGt0CEEd94AaABAg,@bojanrisojevic1972,2022-10-29T10:40:20Z,"Quite impressive and I can see that you put a lot of effort into it. Considering that I am from the Balkans, I miss the depiction of the Yugoslav partisans who rose up in an uprising in July 1941 and since then have been fighting all the time against the Axis powers, and there was free territory all the time. It wasn&#39;t until the end of 1944 that you showed a certain free territory on the territory of today&#39;s Serbia. I&#39;d like you to take a look at that. However, there was a considerable number of armies of the Axis powers in the territory of Yugoslavia, which they could not send to the Russian front because of the Partisans.","OverSimplified's ""WW2"" series offers an entertaining and educational take on World War II. Part 1 delves into the origins of the conflict, key players like Hitler and Churchill, and major events leading to the war's outbreak. Using humor and simplified explanations, the video makes history engaging and accessible.",1,0
_2viQ_Qnc6-nD73Whq8IPs5SpJ3v8OO6PlgvyoopAqQ,Merabi Mazmaniani,2013-10-10T09:39:11.008000,Please visit this Website: oldchat.tk,"Shakira's ""Waka Waka"" captures the exhilaration of the FIFA World Cup with its infectious rhythms and uplifting message. The music video features vibrant African landscapes, showcasing diverse cultures and joyful celebration. With its catchy chorus and energetic performance, ""Waka Waka"" became an anthem of unity and sportsmanship globally.",0,1
z12fzn5rgqi4sdwwe04cj33qdvbbipgjylc0k,Mary-Jane Watson,2014-10-20T02:25:02,"She is good. Does she make any more music? If she doesn't, she should!﻿","Katy Perry's ""Roar"" empowers with its anthemic chorus and vibrant visuals. The music video depicts Perry surviving a jungle plane crash, transforming into a jungle queen who finds her strength. With its message of resilience and self-empowerment, ""Roar"" resonated globally, becoming one of Perry's most iconic hits.",0,0
Ugyi8JUBXGiryARWx814AaABAg,@musiclova2112,2021-01-29T00:45:21Z,This song and “Clover Cage - Better in Time” are the only two things keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better...We are in this together...I love you...❤️..,"Taylor Swift's ""Shake It Off"" music video is a colorful, upbeat anthem celebrating self-confidence and positivity. With catchy lyrics and energetic choreography, Swift embraces different dance styles and encourages listeners to shrug off negativity. The video's vibrant visuals and playful tone make it a feel-good pop sensation.",3,1
z13cydjppmiostv1l22dtzd5xnbjebax004,Giang Nguyen,2014-11-06T04:54:22,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,"PSY's ""GANGNAM STYLE"" became a global sensation with its catchy beat and iconic horse-riding dance moves. The music video showcases the lavish lifestyle of Gangnam, a district in Seoul, South Korea, juxtaposed with humorous scenes. Its infectious energy and quirky style made it a viral hit, amassing billions of views.",0,1
UgxZlwcWfutvXjoRPT54AaABAg,@user-os2fk3pu4f,2020-03-07T09:25:32Z,How?? Human not heard low prequency area.. woofer Hz. .. this sound use max. Channel.. ?? 1sec. 10000 times wave send possible? Do it..,"Taylor Swift's ""Shake It Off"" music video is a colorful, upbeat anthem celebrating self-confidence and positivity. With catchy lyrics and energetic choreography, Swift embraces different dance styles and encourages listeners to shrug off negativity. The video's vibrant visuals and playful tone make it a feel-good pop sensation.",0,0
z13fzt0pzle4dlczg04cfd3yonqhfrva3bs,Jenna Metchooyeah,2015-05-26T12:31:06.611000,Check out this video on YouTube:﻿,"LMFAO's ""Party Rock Anthem"" is a high-energy dance anthem that dominated clubs and airwaves worldwide. The music video features the duo and their crew dancing through a post-apocalyptic world, spreading their infectious party spirit. With its catchy beat and memorable choreography, it became a symbol of carefree celebration.",0,1
UgxIEqhFN8nncFHSeq14AaABAg,@emmanueloluremilekun894,2019-10-30T14:31:20Z,i see the office i click,"""Jim's Pranks Against Dwight"" from The Office US showcases hilarious moments from the popular sitcom. Jim Halpert's playful yet elaborate pranks on his coworker Dwight Schrute provide endless laughs and highlight the show's comedic dynamics. From stapler encasements to impersonations, the video captures memorable office antics at their finest.",0,0
